epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,202.034,0.88781,3.64872,1.46484,0.30969,0.27885,0.17217,0.11967,0.87732,3.20296,1.29781,0.000195686,0.000195686,0.000195686
2,390.737,0.86627,2.65601,1.4164,0.30972,0.39412,0.19855,0.13955,0.86667,2.61318,1.27001,0.000352909,0.000352909,0.000352909
3,580.304,0.87992,2.26532,1.41489,0.41321,0.35014,0.26305,0.18695,0.89694,2.02652,1.29562,0.000471324,0.000471324,0.000471324
4,766.087,0.84699,2.01509,1.37901,0.4182,0.3971,0.28899,0.21674,0.81633,1.8749,1.20748,0.000413364,0.000413364,0.000413364
5,954.291,0.80705,1.82963,1.33828,0.42575,0.43384,0.32517,0.24512,0.79235,1.70125,1.17104,0.000355152,0.000355152,0.000355152
6,1142.19,0.75118,1.66844,1.2844,0.45461,0.35855,0.338,0.25715,0.75662,1.64541,1.14222,0.00029694,0.00029694,0.00029694
7,1327.97,0.71324,1.56442,1.25133,0.46563,0.45343,0.37655,0.29901,0.70512,1.4966,1.08196,0.000238728,0.000238728,0.000238728
8,1518.26,0.67701,1.47279,1.22028,0.54254,0.43353,0.40236,0.32076,0.69118,1.44779,1.0714,0.000180516,0.000180516,0.000180516
9,1709.93,0.63711,1.37955,1.18375,0.52432,0.46986,0.41225,0.33249,0.66002,1.37805,1.04389,0.000122304,0.000122304,0.000122304
10,1902.96,0.60884,1.30104,1.15812,0.56123,0.43929,0.43399,0.35551,0.6439,1.33484,1.03339,6.4092e-05,6.4092e-05,6.4092e-05
