epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,711.553,0.82413,2.92786,1.38082,0.3956,0.3973,0.29216,0.22081,0.80972,2.01892,1.19518,0.000195922,0.000195922,0.000195922
2,1409.29,0.79992,1.86025,1.32739,0.5232,0.39013,0.35646,0.27522,0.75061,1.59733,1.13882,0.000353121,0.000353121,0.000353121
3,2102.18,0.78507,1.61347,1.30847,0.51449,0.44305,0.40263,0.31107,0.74218,1.43941,1.13538,0.000471513,0.000471513,0.000471513
4,2793.07,0.75679,1.48426,1.28557,0.59872,0.43036,0.45607,0.35908,0.71207,1.28729,1.08904,0.000413364,0.000413364,0.000413364
5,3487.17,0.7091,1.37482,1.23903,0.61325,0.44389,0.47569,0.3849,0.66139,1.21012,1.04398,0.000355152,0.000355152,0.000355152
6,4178.6,0.6761,1.29224,1.20996,0.62344,0.50812,0.50518,0.41479,0.62953,1.14491,1.01644,0.00029694,0.00029694,0.00029694
7,4871.31,0.6408,1.20886,1.17908,0.65302,0.4978,0.53324,0.44658,0.6018,1.05763,0.98784,0.000238728,0.000238728,0.000238728
8,5543.81,0.6119,1.1375,1.15772,0.68506,0.48931,0.54011,0.45236,0.58846,1.03161,0.97672,0.000180516,0.000180516,0.000180516
9,6208.95,0.58749,1.07956,1.13296,0.665,0.50936,0.56014,0.47329,0.57839,0.9963,0.95938,0.000122304,0.000122304,0.000122304
10,6874.14,0.56124,1.01515,1.11414,0.6369,0.56839,0.57509,0.48718,0.56052,0.95037,0.94467,6.4092e-05,6.4092e-05,6.4092e-05
